order_item_id,order_id,product_id,quantity
1,1,5,3
2,2,9,5
3,2,6,2
4,2,8,2
5,2,2,2
6,3,3,4
7,3,9,1
8,4,2,3
9,4,6,4
10,5,8,3
11,5,7,2
12,6,4,4
13,7,8,4
14,8,4,2
15,8,8,4
16,9,2,3
17,9,9,2
18,9,6,2
19,10,10,2
20,11,4,3
21,11,2,3
22,11,1,1
23,11,5,3
24,12,7,5
25,12,9,4
26,12,2,5
27,13,8,1
28,13,3,1
29,13,5,3
30,14,6,5
31,14,8,3
32,15,5,1
33,16,9,3
34,16,1,3
35,16,10,4
36,16,8,5
37,17,3,4
38,18,10,3
39,18,2,1
40,19,1,1
41,19,10,5
42,19,5,5
43,19,9,2
44,20,4,4
45,20,5,1
46,20,7,3
47,21,1,1
48,21,7,3
49,21,9,5
50,22,3,4
51,22,6,3
52,22,7,4
53,23,10,5
54,23,5,2
55,23,9,2
56,24,9,4
57,24,3,2
58,24,7,5
59,24,6,5
60,25,4,4
61,25,10,5
62,25,2,1
63,26,9,3
64,26,6,2
65,26,7,4
66,27,2,4
67,27,10,4
68,27,3,4
69,28,1,5
70,28,4,4
71,29,6,1
72,29,8,3
73,30,2,1
74,30,10,2
75,30,4,3
76,31,10,2
77,31,1,2
78,32,9,1
79,33,2,4
80,33,7,5
81,34,9,4
82,35,7,5
83,35,2,2
84,35,3,4
85,35,1,4
86,36,5,2
87,36,1,2
88,36,6,1
89,36,8,1
90,37,5,2
91,37,1,2
92,37,7,5
93,37,10,4
94,38,5,5
95,39,10,1
96,39,6,4
97,40,4,4
98,40,2,5
99,41,7,4
100,41,8,5
101,41,3,5
102,42,9,5
103,42,2,4
104,42,4,2
105,42,6,4
106,43,10,3
107,43,7,2
108,43,6,3
109,43,8,5
110,44,4,2
111,44,5,3
112,44,1,4
113,44,10,1
114,45,2,2
115,45,10,3
116,45,7,3
117,46,3,5
118,46,9,1
119,46,8,2
120,47,8,2
121,47,2,4
122,48,2,2
123,48,10,1
124,49,7,4
125,49,4,3
126,49,10,5
127,49,5,4
128,50,4,1
129,50,8,2
130,50,9,4
131,50,5,4
